session_id,timestamp,enterprise_id,user_id,agent_id,query_text,query_type,table_or_tables_accessed,row_estimate,model_confidence,intent,status_code
sess_1000,2026-05-17 07:49:19,ent_nexus_beta,usr_500,agt_6,"SELECT warehouse, updated_at FROM inventory WHERE id = 6660",SELECT,inventory,2320,0.8844,inventory_check,200
sess_1000,2026-05-17 08:03:35,ent_nexus_beta,usr_500,agt_6,"SELECT sku, AVG(amount) FROM inventory GROUP BY sku",AGGREGATION,inventory,5493,0.8811,inventory_check,200
sess_1000,2026-05-17 08:05:12,ent_nexus_beta,usr_500,agt_6,"SELECT sku, MAX(id) FROM inventory GROUP BY sku",AGGREGATION,inventory,8967,0.62,inventory_check,200
sess_1000,2026-05-17 08:05:21,ent_nexus_beta,usr_500,agt_6,"SELECT id, category FROM products WHERE id = 4777",SELECT,products,241,0.8277,inventory_check,200
sess_1000,2026-05-17 08:14:52,ent_nexus_beta,usr_500,agt_6,"SELECT products.id, inventory.id FROM products JOIN inventory ON products.id = inventory.id",JOIN,"products,inventory",88,0.7737,inventory_check,200
sess_1000,2026-05-17 08:16:29,ent_nexus_beta,usr_500,agt_6,"SELECT price, category FROM products WHERE id = 35399",SELECT,products,2417,0.9216,inventory_check,200
sess_1000,2026-05-17 08:16:32,ent_nexus_beta,usr_500,agt_6,"SELECT warehouse, updated_at FROM inventory WHERE id = 29729",SELECT,inventory,222,0.9489,inventory_check,200
sess_1000,2026-05-17 08:18:06,ent_nexus_beta,usr_500,agt_6,"SELECT updated_at, sku FROM inventory WHERE id = 22475",SELECT,inventory,113,0.9521,inventory_check,200
sess_1000,2026-05-17 08:18:50,ent_nexus_beta,usr_500,agt_6,"SELECT name, price FROM products WHERE id = 92656",SELECT,products,159,0.6841,inventory_check,200
sess_1000,2026-05-17 08:22:39,ent_nexus_beta,usr_500,agt_6,"SELECT id, warehouse FROM inventory WHERE id = 27288",SELECT,inventory,508,0.995,inventory_check,200
sess_1000,2026-05-17 08:23:41,ent_nexus_beta,usr_500,agt_6,"SELECT updated_at, sku FROM inventory WHERE id = 11591",SELECT,inventory,74,0.8796,inventory_check,200
sess_1000,2026-05-17 08:24:17,ent_nexus_beta,usr_500,agt_6,"SELECT id, sku FROM inventory WHERE id = 54330",SELECT,inventory,578,0.8084,inventory_check,200
sess_1000,2026-05-17 08:25:43,ent_nexus_beta,usr_500,agt_6,UPDATE inventory SET warehouse = '4260' WHERE id = 3407,UPDATE,inventory,177,0.7763,inventory_check,200
sess_1001,2026-05-07 19:55:53,ent_corp_alpha,usr_501,agt_2,UPDATE information_schema.tables SET row_count = '1428' WHERE id = 7193,UPDATE,information_schema.tables,125,0.9159,system_health_check,200
sess_1001,2026-05-07 19:56:38,ent_corp_alpha,usr_501,agt_2,"SELECT information_schema.tables.id, page_views.id FROM information_schema.tables JOIN page_views ON information_schema.tables.id = page_views.id",JOIN,"information_schema.tables,page_views",1949,0.8711,system_health_check,200
sess_1001,2026-05-07 19:57:56,ent_corp_alpha,usr_501,agt_2,"SELECT information_schema.tables.id, logs.id FROM information_schema.tables JOIN logs ON information_schema.tables.id = logs.id",JOIN,"information_schema.tables,logs",1615,0.995,system_health_check,200
sess_1001,2026-05-07 19:59:31,ent_corp_alpha,usr_501,agt_2,"SELECT user_id, ts FROM page_views WHERE id = 93094",SELECT,page_views,206,0.8738,system_health_check,200
sess_1001,2026-05-07 20:00:54,ent_corp_alpha,usr_501,agt_2,"SELECT information_schema.tables.id, page_views.id FROM information_schema.tables JOIN page_views ON information_schema.tables.id = page_views.id",JOIN,"information_schema.tables,page_views",959,0.8718,system_health_check,200
sess_1001,2026-05-07 20:01:13,ent_corp_alpha,usr_501,agt_2,"SELECT url, user_id FROM page_views WHERE id = 51906",SELECT,page_views,967,0.995,system_health_check,200
sess_1001,2026-05-07 20:01:18,ent_corp_alpha,usr_501,agt_2,"SELECT level, message FROM logs WHERE id = 45829",SELECT,logs,2685,0.7928,system_health_check,200
sess_1001,2026-05-07 20:04:42,ent_corp_alpha,usr_501,agt_2,"SELECT ts, url FROM page_views WHERE id = 77183",SELECT,page_views,2507,0.8159,system_health_check,200
sess_1001,2026-05-07 20:07:18,ent_corp_alpha,usr_501,agt_2,"SELECT ts, AVG(amount) FROM page_views GROUP BY ts",AGGREGATION,page_views,6283,0.7847,system_health_check,200
sess_1001,2026-05-07 20:09:21,ent_corp_alpha,usr_501,agt_2,"SELECT url, id FROM page_views WHERE id = 63773",SELECT,page_views,118,0.6249,system_health_check,200
sess_1001,2026-05-07 20:12:01,ent_corp_alpha,usr_501,agt_2,"SELECT user_id, ts FROM page_views WHERE id = 22315",SELECT,page_views,815,0.7645,system_health_check,200
sess_1001,2026-05-07 20:14:28,ent_corp_alpha,usr_501,agt_2,"SELECT id, url FROM page_views WHERE id = 37190",SELECT,page_views,2084,0.8124,system_health_check,200
sess_1001,2026-05-07 20:15:22,ent_corp_alpha,usr_501,agt_2,UPDATE logs SET ts = '5851' WHERE id = 3203,UPDATE,logs,1498,0.8771,system_health_check,200
sess_1001,2026-05-07 20:20:29,ent_corp_alpha,usr_501,agt_2,"SELECT id, AVG(amount) FROM logs GROUP BY id",AGGREGATION,logs,20916,0.9539,system_health_check,200
sess_1001,2026-05-07 20:22:05,ent_corp_alpha,usr_501,agt_2,"SELECT url, ts FROM page_views WHERE id = 4459",SELECT,page_views,2328,0.8798,system_health_check,200
sess_1002,2026-05-12 17:39:09,ent_nexus_beta,usr_502,agt_6,"SELECT method, month FROM billing_records WHERE id = 7481",SELECT,billing_records,117,0.8457,billing_summary,200
sess_1002,2026-05-12 17:40:12,ent_nexus_beta,usr_502,agt_6,"SELECT orders.id, customers.id FROM orders JOIN customers ON orders.id = customers.id",JOIN,"orders,customers",8250,0.9089,billing_summary,200
sess_1002,2026-05-12 17:42:21,ent_nexus_beta,usr_502,agt_6,"SELECT method, month FROM billing_records WHERE id = 64524",SELECT,billing_records,1291,0.9751,billing_summary,200
sess_1002,2026-05-12 17:47:07,ent_nexus_beta,usr_502,agt_6,"SELECT created_at, amount FROM orders WHERE id = 57420",SELECT,orders,160,0.995,billing_summary,200
sess_1002,2026-05-12 17:47:48,ent_nexus_beta,usr_502,agt_6,"SELECT id, region FROM customers WHERE id = 41743",SELECT,customers,794,0.8055,billing_summary,200
sess_1002,2026-05-12 17:47:53,ent_nexus_beta,usr_502,agt_6,"SELECT email, id FROM customers WHERE id = 12178",SELECT,customers,973,0.7976,billing_summary,200
sess_1002,2026-05-12 17:48:25,ent_nexus_beta,usr_502,agt_6,"SELECT created_at, status FROM orders WHERE id = 82113",SELECT,orders,449,0.6982,billing_summary,200
